Source,Target
S,GOLGA7
S,ZDHHC5
ACE2,S
S,S
S,ACE2
S,ACE2
S,S
S,ACE2
S,S
S,ACE2
ACE2,S
S,ACE2
S,BSG
BSG,S
BSG,S
S,BSG
BSG,S
S,ACE2
ACE2,S
ACE2,S
ACE2,S
ACE2,S
FURIN,S
TMPRSS2,S
ACE2,S
ACE2,S
ACE2,S
S,ACE2
S,ACE2
S,ACE2
S,ACE2
S,ACE2
S,ACE2
ACE2,S
ACE2,S
ACE2,S
ACE2,S
S,ACE2
ACE2,S
S,ACE2
ACE2,S
S,ACE2
S,S
ACE2,S
S,CD209
S,CLEC10A
S,CD33
S,SIGLEC9
S,SIGLEC10
ACE2,S
S,ACE2
S,ZDHHC5
S,GOLGA7
S,S
S,ACE2
S,ACE2
NRP1,S
S,NRP1
S,ACE2
S,S
ACE2,S
ACE2,S
S,S
S,ACE2
ACE2,S
ACE2,S
ACE2,S
S,S
S,S
S,ACE2
S,S
ACE2,S
S,S
S,S
ACE2,S
ACE2,S
S,ACE2
ACE2,S
ACE2,S
ACE2,S
ACE2,S
S,CD209
S,CLEC4M
S,MRC1
S,CLEC10A
ACE2,S
S,ACE2
S,S
S,ACE2
ACE2,S
ACE2,S
S,S
S,ACE2
S,S
S,CD209
S,CLEC4M
S,CD207
S,CLEC10A
S,CD209
S,ACE2
S,S
ACE2,S
S,S
S,ACE2
S,ACE2
ACE2,S
ASGR1,S
CD207,S
CLEC4M,S
ERGIC3,S
FUT8,S
KREMEN1,S
KREMEN2,S
LILRB2,S
LMAN2,S
MGAT2,S
SIGLEC9,S
KREMEN1,S
ASGR1,S
S,ACE2
S,S
S,ACE2
S,S
S,ACE2
S,ACE2
S,S
S,ACE2
S,CDH17
S,DPP4
S,PROM1
S,HNRNPU
S,TFRC
S,SLC2A1
S,CTNNA1
S,GPC3
S,NAALAD2
S,CDH1
S,SLC3A2
S,VAPA
S,PDIA3
S,HMGB1
S,ADAM10
S,CD44
S,CNTN1
S,CEACAM7
S,RTN4RL2
S,ITGB1
S,EGFR
S,CEACAM5
S,ITGA3
S,OCLN
S,SCAMP3
S,ARPC1B
S,CTDSP2
S,PREB
S,PDIA6
S,ABCC4
S,BET1
S,BASP1
S,PGRMC2
S,SPTLC1
S,YKT6
S,SPINT2
S,CKAP4
S,SLC27A4
S,RAB35
S,DSTN
S,ABHD2
S,OSBPL8
S,AP2M1
S,CLPTM1
S,ABCC2
S,PIGU
S,DCBLD2
S,AGPAT6
S,CXADR
S,CYB5A
S,CYP51A1
S,DARS
S,TOR1AIP2
S,DDOST
S,DHCR7
S,SLC26A2
S,S1PR3
S,ANO6
S,EIF2S1
S,EPHA2
S,TMEM201
S,STT3B
S,SLC29A1
S,STOM
S,EPHX1
