Source,Target
CYB561D2,UNC119
ACD,XRCC6
KLHL20,CRMP1
KLHL20,PIN1
ABCF3,ACIN1
ABCF3,DNALI1
ABCF3,LAMTOR1
ABCF3,TOE1
ACACA,CHGB
ACP1,MRPL20
ACP1,FNBP1L
ACP5,SLC35F6
ACP6,SLC35F6
ACP6,GNG7
ADAM11,STC2
ADH5,CHD3
AES,MED31
AES,SH3GL3
AKR1C3,UBE2W
ALDH2,UNC119
ARMCX3,CLTC
ARMCX3,IMMT
ANAPC5,ZBTB16
ANXA5,FDFT1
ANXA6,CDC73
KDM1A,IMMT
KDM1A,CCDC90B
KDM1A,UNC119
APOBEC3G,PTN
ARF1,NOA1
ARL4D,DNAJA1
ARL4D,EML4
ARL4D,MAPK8IP3
ARL4D,NDRG1
ARL4D,PGAM1
ARL4D,PRKCSH
ARL15,GRIPAP1
ARHGDIA,ACTL6A
ARHGDIA,CDKN1B
ARHGDIA,NEDD4L
ARHGDIA,SH3GL3
ARIH2,EML4
ARIH2,WDR91
ARIH2,KCNQ2
ARIH2,LOC147791
ARIH2,SGCE
ARPC3,ARAP1
ARPC3,PRMT1
ARR3,CAPNS1
ARR3,RNASE6
ARRB2,SMARCC2
ARSE,COQ6
ARSE,NDN
ASCC2,CUTC
ASCC2,CKAP4
ASCC2,DEAF1
ASCC2,ELAC2
ASCC2,FAF1
ASCC2,GFER
ASCC2,IGSF9
ASCC2,LPL
ASCC2,GNL3
ASCC2,PIK3CD
ATP5C1,CA12
ATP5C1,CHMP2B
ATP5C1,DPP3
ATP5C1,EGFR
ATP5C1,ITIH2
ATP5C1,NDUFB3
ATP5C1,NGEF
ATP5C1,GDPD2
ATP5J2,ARL8B
ATP5J2,CAPNS1
ATP5J2,LPP
ATP5J2,PRPF4
ATP5J2,PVRL2
ATP5J2,ZFPL1
ATPIF1,CHD3
BAIAP2,C14orf1
BAG6,RCN2
C16orf45,ENO2
BCAR1,E2F2
BCAR1,EFS
BLMH,TRIO
BOC,LRIF1
BRD1,VIM
BRIX1,UBA2
BRIX1,UNC119
FRA10AC1,ADPRHL2
FRA10AC1,C7orf25
FRA10AC1,GDPD2
FRA10AC1,LPPR4
FRA10AC1,GLRX3
FRA10AC1,VPS29
C11orf1,SETDB1
C19orf10,BAG6
WDR62,WDR62
UBQLN4,NAE1
EMG1,SLC25A38
EMG1,KHDRBS1
NREP,IGSF21
MMS22L,FBXW7
ORAI2,MED31
GET4,CDKN1A
GET4,PRKCSH
C7orf26,AK5
FAM219A,PDE6D
FAM219A,POLA2
CAAP1,XRCC4
CA8,LRCH4
CACNB4,TBL3
CALM2,MRPL20
